Atom_Key,Element,Oxidation_State,Atomic_Number,radii,Ionization_Energy,Electronegativity,Electron_Affinity,Atomic_Volume,HOMO,LUMO,Zunger_Radius,Group,Period,Block,Melting_Point,Boiling_Point,Thermal_Conductivity
Ag1+,Ag,1,47,1.28,730.9929375,1.93,125.8620774,10.27,-4.405,-0.729,2.375,11,5,d,1234.93,2435,430
Ag2+,Ag,2,47,0.94,730.9929375,1.93,125.8620774,10.27,-4.405,-0.729,2.375,11,5,d,1234.93,2435,430
Ag3+,Ag,3,47,0.75,730.9929375,1.93,125.8620774,10.27,-4.405,-0.729,2.375,11,5,d,1234.93,2435,430
Al3+,Al,3,13,0.535,577.536922,1.61,41.76208498,10,-2.711,-0.444,1.675,13,3,p,933.47,2792,235
As3+,As,3,33,0.58,944.4482468,2.18,77.62086066,12.95,-5.194,-0.532,1.415,15,4,p,1090,887,50
As5+,As,5,33,0.46,944.4482468,2.18,77.62086066,12.95,-5.194,-0.532,1.415,15,4,p,1090,887,50
Au1+,Au,1,79,1.37,890.1275777,2.54,222.74626,10.21,-5.76,-0.764,2.66,11,6,d,1337.33,3129,320
Au3+,Au,3,79,0.85,890.1275777,2.54,222.74626,10.21,-5.76,-0.764,2.66,11,6,d,1337.33,3129,320
Au5+,Au,5,79,0.57,890.1275777,2.54,222.74626,10.21,-5.76,-0.764,2.66,11,6,d,1337.33,3129,320
B3+,B,3,5,0.27,800.6343632,2.04,26.98909778,4.39,-3.606,-0.298,0.795,13,2,p,2349,4200,27
Ba2+,Ba,2,56,1.61,502.8474589,0.89,13.95423961,38.16,-3.235,-2.026,3.402,2,6,s,1000,2143,18
Be2+,Be,2,4,0.45,899.500613,1.57,-50.1722,4.85,-5.61,-2.017,1.48,2,2,s,1560,2742,190
Bi3+,Bi,3,83,1.17,702.9430113,2.02,90.92381011,21.31,-4.57,-0.688,1.997,15,6,p,544.4,1837,8
Bi5+,Bi,5,83,0.76,702.9430113,2.02,90.92381011,21.31,-4.57,-0.688,1.997,15,6,p,544.4,1837,8
